rank,AR,lambda,aoaRoot (deg),aoaTip (deg),eta_pred,LD_pred,DMS,stage
3235,7.975638972617596,0.5539965573245305,12.438065484610721,7.17853323516025,0.3905472557395643,16.79819715685208,0.5590537108111999,coarse
3236,10.0,0.7494348934294138,17.664160139117207,7.758973039051498,0.36281111716142855,18.319109229852376,0.5590215290938292,refine
3237,9.357832088428983,0.5411998030045369,18.927149677770338,7.129368664830342,0.4087695886680127,17.8344913093118,0.5589386806895855,refine
3238,8.680372696594283,0.5194328177679441,14.646359499442312,4.140018020196116,0.3389099356285673,17.34035436948557,0.5588988042377869,coarse
3239,9.745955885379413,0.538363521087166,20.0,5.867963094887657,0.3844010540245303,18.091238870448002,0.5588968326321844,refine
3240,9.658396977487048,0.9686716606697647,11.952008222795971,6.108857291559159,0.2640036038762858,18.128341525642234,0.5588917690142486,coarse
3241,9.6838818899498,0.6842341016552985,13.008577478670457,3.851953798522294,0.26653945403173407,18.101389548366523,0.558852540014352,coarse
3242,9.054501996158628,0.6323642696003299,19.613238413797482,7.7597885657695915,0.4255460558382718,17.657411146942376,0.5588363295310209,refine
3243,9.772450080739775,0.6355389118596089,17.731098151019054,7.490151588467077,0.37937464725970005,18.144062994562933,0.5588336628256295,refine
3244,9.22326784540249,0.7254366365501146,14.447639374326275,4.115790238580843,0.2948965541678932,17.802786746186573,0.55881276801387,coarse
3245,9.243595009335841,0.9828947452207658,10.551872905947747,7.682997862674542,0.2903392565607755,17.850392079823912,0.5587642850822936,coarse
3246,8.339010811219747,0.5129084971057352,12.037705979424226,6.289818006390373,0.3640660110686659,17.074729750078983,0.558759202640832,coarse
3247,9.503833442866348,0.6573580612266064,18.563984370491553,7.604689315425203,0.3954103337561955,17.974824227276166,0.558744872443201,refine
3248,7.540670949423877,0.9988786571164303,18.189101408200553,7.741355583730764,0.41700014820037645,16.517431561407474,0.5586997034723036,coarse
3249,9.816433116280031,0.9626960977895881,11.103912337373568,6.256156625517864,0.25417169825060626,18.230115417259796,0.5586541035967316,coarse
3250,9.509240926312218,0.6434012302952485,17.751544502763004,7.959797985581567,0.3954600326820203,17.974076230477056,0.5586538020670381,refine
3251,7.654969299942628,0.5450984785040611,14.272699227998514,7.0238593292457505,0.41663111315111456,16.52078834561506,0.5586244837665907,coarse
3252,8.982328646274219,0.5,18.819076182144467,7.730515378835403,0.4353556559744776,17.553454410667616,0.5586083864170378,refine
3253,8.397531166083374,0.7215259996791735,10.990985907601038,7.688833593236696,0.35256608819817803,17.19460621810675,0.5586009045849778,coarse
3254,7.481798364791792,0.6867206592668289,17.729734468687052,6.340514583677929,0.42630547473725927,16.418810913605654,0.5585958103893384,coarse
3255,8.596596200537098,0.966373038003729,16.2897575639127,5.824769652813195,0.3346614734447697,17.382454246124453,0.558527382969713,coarse
3256,9.401097195334888,0.9253453159740782,12.614372247027354,5.910385532370119,0.28014332068409,17.95557557454775,0.5584664949282219,coarse
3257,8.20943432580173,0.7600890296671774,17.205284152506632,5.013363853179097,0.36565322102023584,17.055032758918845,0.5583299743781491,coarse
3258,9.915452461499704,0.7330944299768963,19.02279911410722,7.064476933710542,0.36803035031104514,18.26236626341339,0.5583182937064978,refine
3259,9.700508509716405,0.712349550268985,18.540007961815597,7.556823215923335,0.3815405109386242,18.11970983739869,0.5582143308843045,refine
3260,9.811498797383225,0.760625267297363,17.892186399333255,7.980239089288584,0.3736602500500961,18.202454659049724,0.5580862978398309,refine
3261,8.037201252899287,0.5129312012617491,17.22115539993295,4.245308878095371,0.3867544569242013,16.83120975545879,0.5580677948112771,coarse
3262,8.711614340246058,0.8565613990918063,17.774432333784283,4.080534001862599,0.32697760046724633,17.459963275470283,0.5580511458493438,coarse
3263,9.121205975637569,0.8917067429169879,10.217965393815437,7.493759080343081,0.29844801179871083,17.760088982966565,0.5580491663511802,coarse
3264,7.816716046809077,0.5976874986529823,19.314353421403702,4.083857849008996,0.4009370762545785,16.68173509730543,0.5580292392205091,coarse
3265,8.531670517070483,0.7188841835327549,13.709211771994337,5.8867660454829025,0.3423826407792066,17.29754905203304,0.5580012347872678,coarse
3266,7.836784382768261,0.9830905990611787,17.870753721294207,6.944245288887573,0.3921113790813767,16.774232979156018,0.5579790028006552,coarse
3267,7.276529954398664,0.5882011374272075,14.96004769524344,7.955152373228989,0.44685621621857863,16.197614065475026,0.5578806270783263,coarse
3268,7.489046292766193,0.6247785910132779,17.494303902205708,6.115201413820111,0.42710685528478215,16.40516467800654,0.5578493716503361,coarse
