Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Airspeed (m/s),Airspeed Pressure (mm H2O),Electrical forward flight efficiency (%),Vibration (g),App message,
31.937999999999068,1185.7894736842106,,,,-0.0625,-0.02734375,-1.0390625,0.0036734879661570728,0.18949415028110955,22.207000732421875,0.12451171875,532,0,2.7650318294763565,0.20472424624400104,7.404046639230617,0.9256067796447545,0.0685323576607782,1.2614847017655857,0.09604447628252262,8.6482053119852,0.103515625,,
31.954,1185.7894736842106,,,,-0.041015625,-0.076171875,-0.94140625,-0.004018372841802276,0.29078551131942976,22.20599937438965,0.126953125,533,0,2.819121014326811,0.2242301550688469,7.953903146736383,0,0.10314758034211866,1.34179697461287,0.10866308406370731,13.845039002266693,0.103515625,,
31.96900499999989,1185.7894736842106,,,,-0.103515625,0.01953125,-1.06640625,-0.004348873398458647,0.3165650546178522,22.203201293945312,0.140625,533,0,3.1223251819610596,0.2427380960766044,7.774273399804765,0,0.1013875993592138,1.4233198451177547,0.12226817053879688,14.435627777198254,0.103515625,,
31.986,1185.7894736842106,,,,-0.0625,-0.044921875,-0.9921875,0.0036302810689256785,0.3034657368684663,22.20199966430664,0.126953125,533,0,2.818613238632679,0.20254804252727196,7.186088525771946,0,0.10766490865404392,1.5100473076760395,0.13762251995151864,16.26346427934104,0.103515625,,
32.003,1185.7894736842106,,,,-0.03125,-0.03125,-1.0390625,0.011726900092924857,0.12869354336886513,22.20600128173828,0.126953125,533,0,2.8191212564706802,0.6540178475045695,23.19935142922333,0.1967737483921889,0.0456502334099596,1.5581792536431573,0.1465356271817317,7.115554520017879,0.103515625,,
32.018,1185.7894736842106,,,,-0.041015625,0.00390625,-1.046875,0.015452551320265134,0.10173194514637994,22.20479965209961,0.130859375,533,0,2.9057062044739723,0.8617879606748136,29.658468545371235,0.11804753580767115,0.035011091276103995,1.5197703960475546,0.1394005052756757,5.322699629461584,0.103515625,,
32.034,1185.7894736842106,,,,-0.041015625,-0.060546875,-1.01171875,0.007771646515986307,0.17258001891315752,22.20400047302246,0.13916015625,533,0,3.0899121752008796,0.43353106287496895,14.030530264077312,0.3980799386523541,0.05585272626783894,1.5371880920783119,0.14261407988727567,8.588547436097336,0.103515625,,
32.049,1185.7894736842106,,,,-0.0625,-0.03125,-1.009765625,0.003237810983272648,0.20172304576823116,22.20400047302246,0.1328125,533,0,2.9489688128232956,0.18062646645903355,6.125072115839186,0,0.0684046046506354,1.4986460379729574,0.1355521829413669,10.254930882619776,0.1015625,,
32.065,1185.7894736842106,,,,-0.01953125,-0.078125,-0.986328125,-0.004152251268794258,0.2987590090799256,22.203001022338867,0.14404296875,533,0,3.1981861824169755,0.23155254075336762,7.240120729255846,0,0.0934151397196468,1.4932141510516657,0.13457133625879814,13.95364582092026,0.103515625,,
32.08,1185.7894736842106,,,,-0.078125,-0.00390625,-1.072265625,-0.004065907158094793,0.32400125468559227,22.204999923706055,0.13916015625,532,0,3.0900512589141726,0.22663231207005718,7.334257365998989,0,0.10485303560933308,1.4770085441967045,0.13166622409135473,15.492173298336482,0.103515625,,
32.09499999999907,1185.7894736842106,,,,-0.041015625,-0.04296875,-1.015625,0.003325131078669987,0.3188324508812816,22.20400047302246,0.1318359375,532,0,2.9272852186113596,0.18532211010913,6.330852522701658,0,0.10891745322737248,1.4722453955928805,0.13081838114309635,16.040799599560835,0.1015625,,
32.111,1185.7894736842106,,,,-0.041015625,-0.01953125,-1.02734375,0.01325788556394323,0.14466203079756704,22.20600128173828,0.1416015625,532,0,3.1444044783711433,0.7392971773638745,23.511516487434957,0.19567507522941058,0.046006177574363614,1.4182147224438286,0.12139263398199235,6.526892674212922,0.1015625,,
32.12599999999907,1185.7894736842106,,,,-0.0625,-0.03125,-1.03125,0.017821986447727603,0.14466203079756704,22.20600128173828,0.126953125,533,0,2.8191212564706802,0.9939143459463867,35.25617579112897,0.1455477842608485,0.05131458267909788,1.3666377832096919,0.11272369031188972,7.01524035375152,0.1015625,,
32.14399999999907,1185.7894736842106,,,,-0.041015625,-0.05078125,-1.03515625,0.00788091790792454,0.1275007424909473,22.20400047302246,0.140625,532,0,3.1224375665187836,0.43923185153934063,14.0669538519882,0.29028118531045893,0.040833720378626606,1.3504048565421596,0.11006172842294726,5.516089094656327,0.1015625,,
32.161,1185.7894736842106,,,,-0.078125,-0.029296875,-1.03125,0.0034915995221933716,0.19082664855914389,22.20400047302246,0.12890625,531,0,2.8622344359755516,0.19417323775094547,6.783973922973374,0,0.06667051662876922,1.3154541706898493,0.1044382978998437,8.773196834396169,0.1015625,,
32.178,1185.7894736842106,,,,0,-0.078125,-1.00390625,-0.003972154598138317,0.29104341421195257,22.20400047302246,0.12451171875,531,0,2.7646582620218396,0.22080740458729842,7.986788371660023,0,0.105272835420573,1.2693885309930042,0.09725176143107846,13.367777891215098,0.1015625,,
32.19299999999907,1185.7894736842106,,,,-0.0625,0.009765625,-1.0859375,-0.0000605045039690922,0.31942347834331297,22.20479965209961,0.1328125,533,0,2.9490749537944794,0.003374989903195232,0.1144423236463604,0,0.10831310948279599,1.214570617269955,0.08903358739169029,13.159885932651072,0.1015625,,
32.209,1185.7894736842106,,,,-0.0625,-0.046875,-0.994140625,0.00425608388299405,0.3052710571161257,22.204999923706055,0.1416015625,533,0,3.144262684509158,0.23759680374194317,7.556518891138185,0,0.09708828038449357,1.2141960613266773,0.08897868161040833,11.79244771260968,0.1015625,,
32.22499999999907,1185.7894736842106,,,,-0.041015625,-0.033203125,-1.03515625,0.01384750103986458,0.13948248103940128,22.20560073852539,0.130859375,533,0,2.905811034142971,0.7724855979936944,26.584164934232497,0.18056321231316966,0.04800122217188142,1.29833657611187,0.10173793225093375,6.234303167630392,0.1015625,,
32.24,1185.7894736842106,,,,-0.0625,-0.02734375,-1.0390625,0.01951434190674252,0.13948248103940128,22.205001831054688,0.1171875,532,0,2.602148652076721,1.0878103508010943,41.80431236827824,0.12822316034838466,0.05360281048051701,1.3831994328888801,0.11547232839021584,7.416870458452374,0.1015625,,
32.25599999999907,1185.7894736842106,,,,-0.041015625,-0.05078125,-1.005859375,0.008187998645853563,0.12612526039749247,22.20479965209961,0.12890625,532,0,2.8623374551534653,0.45635524421327517,15.943446618833681,0.2763751748156717,0.04406372846444489,1.442402860026146,0.1255687190903343,6.357935938081755,0.1015625,,
